Summary,Season,Wedding_destination,Guest,Location,Describing_words,Priority_1,Priority_2,Priority_3,Estimate,Attire_Accessories,Beauty_spa,Entertainment,Flowers_Decorations,Gifts,invitations,Photography,Planner,venue_Catering_rental,Guest_number,range_start,range_end,Cost_per_person,Total_Estimate
How much does a fall wedding in Clearwater Beach FL with 50 to 100 guests cost? The wedding is at the beach. The type of wedding is Beach Destination Unique. The wedding color theme is Pinks. The estimated cost for this wedding is $23260.,Fall Wedding,Clearwater Beach FL,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $310 to the total amount spent.,the beach,Pinks,None,None,None,23260,1746,272,190,259,1058,3746,958,1917,532,75,0,100,310,33938
How much does a summer wedding in Boston MA with 50 to 100 guests cost? The ceremony is at a church or other place of worship and reception is at a restaurant. The type of wedding is Fun Simple Unique. The wedding color theme is Browns. The estimated cost for this wedding is $28791.,Summer Wedding,Boston MA,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $384 to the total amount spent.,a church or other place of worship,Fun Simple Unique,Ceremony Officiator (Officiant Celebrant etc.),Event Food Service Catering Bar Service,Photography & Video,28791,2900,234,299,555,4188,5465,2053,545,421,75,0,100,384,45451
How much does a wedding in Fort Lauderdale FL with 50 to 100 guests cost? The type of wedding is Romantic Traditional Intimate. The wedding color theme is Reds. The estimated cost for this wedding is $21011.,None specified,Fort Lauderdale FL,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $280 to the total amount spent.,None specified,Reds,None,None,None,21011,2162,256,159,264,2317,4146,1866,340,266,75,0,100,280,32787
How much does a spring wedding in Keswick VA with 100 to 150 guests cost? The wedding is at a farm or barn. The type of wedding is Rustic Simple Farm/Barn. The wedding color theme is Champagne. The estimated cost for this wedding is $29853.,Spring Wedding,Keswick VA,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $239 to the total amount spent.,a farm or barn,Champagne,None,None,None,29853,1849,515,239,5207,7339,1700,661,548,723,125,0,150,239,48634
How much does a spring wedding in Charlottesville VA with 200 to 300 guests cost? The wedding is at a farm or barn. The type of wedding is Romantic Rustic Farm/Barn. The wedding color theme is Other. The estimated cost for this wedding is $46071.,Spring Wedding,Charlottesville VA,This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $184 to the total amount spent.,a farm or barn,Other,None,None,None,46071,1957,1130,249,12103,11008,4055,1526,1229,756,250,0,300,184,80084
How much does a spring wedding in North Palm Beach FL with 50 to 100 guests cost? The wedding is at a church or other place of worship. The type of wedding is Formal Simple Traditional. The wedding color theme is Pinks. The estimated cost for this wedding is $15375.,Spring Wedding,North Palm Beach FL,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $205 to the total amount spent.,a church or other place of worship,Pinks,None,None,None,15375,2153,276,184,264,822,2530,1099,336,218,75,0,100,205,23257
How much does a summer wedding in Ann Arbor MI with 100 to 150 guests cost? The wedding is at a farm or barn. The type of wedding is Casual DIY Rustic. The wedding color theme is Ivory. The estimated cost for this wedding is $23694.,Summer Wedding,Ann Arbor MI,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $190 to the total amount spent.,a farm or barn,Ivory,None,None,None,23694,1912,371,148,262,1503,5920,1246,2145,473,125,0,150,190,37674
How much does a fall wedding in Hilton Head Island SC with less than 25 guests cost? The type of wedding is Beach Theme Unique. The wedding color theme is Black. The estimated cost for this wedding is $14021.,Fall Wedding,Hilton Head Island SC,This estimate is based on having 15 guests with a range of less than 25 guests. Adding a single guest will likely add $935 to the total amount spent.,Black,None,None,None,None,14021,249,58,912,465,1339,425,201,731,450,15,0,25,935,18851
How much does a fall wedding in Oshkosh WI with 200 to 300 guests cost? The type of wedding is Romantic Rustic Other. The wedding color theme is Reds. The estimated cost for this wedding is $34958.,Fall Wedding,Oshkosh WI,This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $140 to the total amount spent.,Reds,None,None,None,None,34958,2374,924,151,255,9742,10197,3903,1171,822,250,0,300,140,64497
How much does a fall wedding in Fort Lauderdale FL with 100 to 150 guests cost? The wedding is at the beach. The type of wedding is Beach Casual Unique. The wedding color theme is Blues. The estimated cost for this wedding is $25876.,Fall Wedding,Fort Lauderdale FL,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $207 to the total amount spent.,the beach,Blues,None,None,None,25876,1741,426,176,264,4976,6796,1522,813,365,125,0,150,207,42955
How much does a fall wedding in Mechanicsburg PA with 50 to 100 guests cost? The ceremony is at a church or other place of worship and reception is at an event facility. The type of wedding is Rustic Simple Intimate. The wedding color theme is Other. The estimated cost for this wedding is $22066.,Fall Wedding,Mechanicsburg PA,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $294 to the total amount spent.,a church or other place of worship,Rustic Simple Intimate,Attire & Accessories (Wedding Dress Suit etc.),Ceremony Officiator (Officiant Celebrant etc.),Event Location/Venue,22066,2907,261,265,455,1030,3551,1839,386,554,75,0,100,294,33314
How much does a fall wedding in Cincinnati OH with 25 to 50 guests cost? The type of wedding is DIY Elegant Intimate.  The estimated cost for this wedding is $10370.,Fall Wedding,Cincinnati OH,This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $273 to the total amount spent.,None specified,None,None,None,None,10370,1913,111,93,254,1801,3398,1412,154,127,38,0,50,273,19633
How much does a summer wedding in Valley Stream NY with more than 300 guests cost? The wedding is at a banquet hall. The type of wedding is Elegant Fun Traditional. The wedding color theme is Champagne. The estimated cost for this wedding is $90724.,Summer Wedding,Valley Stream NY,This estimate is based on having 400 guests with a range of more than 300 guests. Adding a single guest will likely add $227 to the total amount spent.,a banquet hall,Champagne,None,None,None,90724,4812,2146,331,334,1332,35274,7757,7431,2802,400,0,300,227,152943
How much does a summer wedding in Roca NE with 25 to 50 guests cost? The wedding is at a farm or barn. The type of wedding is Casual Rustic Farm/Barn. The wedding color theme is Greens. The estimated cost for this wedding is $12824.,Summer Wedding,Roca NE,This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $337 to the total amount spent.,a farm or barn,Greens,None,None,None,12824,1966,101,169,863,1694,3531,1336,129,147,38,0,50,337,22760
How much does a summer wedding in Chesapeake Beach MD with 100 to 150 guests cost? The wedding is at an event facility. The type of wedding is Beach Fun Simple. The wedding color theme is Blues. The estimated cost for this wedding is $35562.,Summer Wedding,Chesapeake Beach MD,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $284 to the total amount spent.,an event facility,Blues,None,None,None,35562,386,309,325,6098,6972,11901,2607,327,463,125,0,150,284,64950
How much does a winter wedding in Chicago IL with less than 25 guests cost? The wedding is at a garden or park. The type of wedding is Elegant Simple Traditional. The wedding color theme is Greens. The estimated cost for this wedding is $11558.,Winter Wedding,Chicago IL,This estimate is based on having 15 guests with a range of less than 25 guests. Adding a single guest will likely add $771 to the total amount spent.,a garden or park,Greens,None,None,None,11558,1858,255,271,433,1908,132,32,30,5342,15,0,25,771,21819
How much does a summer wedding in Rochester NY with 100 to 150 guests cost? The wedding is at a country club or golf course. The type of wedding is Fun Traditional Intimate. The wedding color theme is White. The estimated cost for this wedding is $33073.,Summer Wedding,Rochester NY,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $265 to the total amount spent.,a country club or golf course,White,None,None,None,33073,4167,574,192,321,1455,5758,1947,3022,678,125,0,150,265,51187
How much does a spring wedding in Denver CO with 50 to 100 guests cost? The wedding is at a winery. The type of wedding is Fun Simple Intimate. The wedding color theme is Black. The estimated cost for this wedding is $38347.,Spring Wedding,Denver CO,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $511 to the total amount spent.,a winery,Black,None,None,None,38347,1829,251,272,300,5351,4222,873,2246,385,75,0,100,511,54076
How much does a fall wedding in Philadelphia with 100 to 150 guests cost? The wedding is at an event facility. The type of wedding is Fun Romantic Unique. The wedding color theme is Pinks. The estimated cost for this wedding is $25581.,Fall Wedding,Philadelphia,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $205 to the total amount spent.,an event facility,Pinks,None,None,None,25581,2835,454,308,321,1632,7267,593,780,1009,125,0,150,205,40780
How much does a wedding in San Diego CA with 50 to 100 guests cost? The wedding is at a private residence. The type of wedding is Beach Traditional Modern. The wedding color theme is Greens. The estimated cost for this wedding is $26699.,None specified,San Diego CA,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $356 to the total amount spent.,a private residence,Greens,None,None,None,26699,1556,255,204,330,2027,3536,905,2638,536,75,0,100,356,38686
How much does a winter wedding in Wichita KS with 150 to 200 guests cost? The type of wedding is Fun Simple Traditional. The wedding color theme is Purples. The estimated cost for this wedding is $29922.,Winter Wedding,Wichita KS,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $171 to the total amount spent.,Purples,None,None,None,None,29922,1926,653,88,248,1640,6949,2356,2288,565,175,0,200,171,46635
How much does a summer wedding in Colorado Springs CO with 50 to 100 guests cost? The wedding is at a winery. The type of wedding is Intimate. The wedding color theme is Greens. The estimated cost for this wedding is $31910.,Summer Wedding,Colorado Springs CO,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $425 to the total amount spent.,a winery,Greens,None,None,None,31910,2998,260,264,286,1425,3692,945,1979,329,75,0,100,425,44088
How much does a fall wedding in Toledo OH with 150 to 200 guests cost? The wedding is at a historical building. The type of wedding is Fun Romantic Traditional. The wedding color theme is Greens. The estimated cost for this wedding is $49511.,Fall Wedding,Toledo OH,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $283 to the total amount spent.,a historical building,Greens,None,None,None,49511,2325,656,228,248,4304,10639,2436,2846,583,175,0,200,283,73776
How much does a spring wedding in New York NY with 50 to 100 guests cost? The ceremony is at the beach and reception is at a resort or hotel. The type of wedding is Beach Elegant Fun. The wedding color theme is White. The estimated cost for this wedding is $26864.,Spring Wedding,New York NY,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $358 to the total amount spent.,the beach,Beach Elegant Fun,Entertainment (DJ Live Band Musician/s etc.),Event Food Service Catering Bar Service,Event Location/Venue,26864,324,2178,5280,10669,1113,2545,256,4103,0,75,0,100,358,53332
How much does a spring wedding in Port Jervis NY with 25 to 50 guests cost? The wedding is at the beach. The type of wedding is Beach Intimate Experience. The wedding color theme is White. The estimated cost for this wedding is $14932.,Spring Wedding,Port Jervis NY,This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $393 to the total amount spent.,the beach,White,None,None,None,14932,127,1697,2062,5330,407,2084,103,2974,0,38,0,50,393,29716
How much does a fall wedding with 150 to 200 guests cost? The wedding is at a historical building. The type of wedding is Fun Romantic Traditional. The wedding color theme is Greens. The estimated cost for this wedding is $53368.,Fall Wedding,None specified,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $305 to the total amount spent.,a historical building,Greens,None,None,None,53368,2461,605,258,271,5433,8743,2237,3411,536,175,0,200,305,77323
How much does a spring wedding with 150 to 200 guests cost? The type of wedding is Fun Romantic Unique. The wedding color theme is Purples. The estimated cost for this wedding is $35908.,Spring Wedding,None specified,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $205 to the total amount spent.,Purples,None,None,None,None,35908,418,702,280,301,1831,9915,3165,824,570,175,0,200,205,53914
How much does a winter wedding in South Holland IL with 200 to 300 guests cost? The wedding is at a church or other place of worship. The type of wedding is DIY Fun Other. The wedding color theme is Pinks. The estimated cost for this wedding is $37757.,Winter Wedding,South Holland IL,This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $151 to the total amount spent.,a church or other place of worship,Pinks,None,None,None,37757,2029,817,161,271,1186,8969,2885,3381,1066,250,0,300,151,58522
How much does a fall wedding in Flower Mound TX with 50 to 100 guests cost? The wedding is at an event facility. The type of wedding is Simple Traditional. The wedding color theme is Black. The estimated cost for this wedding is $22786.,Fall Wedding,Flower Mound TX,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $304 to the total amount spent.,an event facility,Black,None,None,None,22786,224,243,272,1908,3683,4534,1823,598,392,75,0,100,304,36463
How much does a fall wedding in Ellicottville NY with 200 to 300 guests cost? The ceremony is at a garden or park and reception is at an event facility. The type of wedding is Elegant. The wedding color theme is Greens. The estimated cost for this wedding is $79259.,Fall Wedding,Ellicottville NY,This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $317 to the total amount spent.,a garden or park,Elegant,Attire & Accessories (Wedding Dress Suit etc.),Event Location/Venue,Flowers & Decorations,79259,2658,1766,297,309,4027,25972,6645,6615,2822,250,0,300,317,130370
How much does a summer wedding in Sacramento with 50 to 100 guests cost? The wedding is at a winery. The type of wedding is Garden Simple Traditional. The wedding color theme is White. The estimated cost for this wedding is $36303.,Summer Wedding,Sacramento,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $484 to the total amount spent.,a winery,White,None,None,None,36303,2962,306,299,331,5154,4810,1017,2531,614,75,0,100,484,54327
How much does a fall wedding in Edinboro PA with less than 25 guests cost? The type of wedding is Casual DIY Intimate. The wedding color theme is Other. The estimated cost for this wedding is $8928.,Fall Wedding,Edinboro PA,This estimate is based on having 15 guests with a range of less than 25 guests. Adding a single guest will likely add $595 to the total amount spent.,Other,None,None,None,None,8928,2304,51,157,282,783,1475,1439,66,50,15,0,25,595,15535
How much does a summer wedding in New York NY with 100 to 150 guests cost? The wedding is at a resort or hotel. The type of wedding is Fun Romantic Modern. The wedding color theme is Greens. The estimated cost for this wedding is $37154.,Summer Wedding,New York NY,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $297 to the total amount spent.,a resort or hotel,Greens,None,None,None,37154,2277,443,245,334,1799,7817,1604,2560,606,125,0,150,297,54839
How much does a fall wedding with 200 to 300 guests cost? The ceremony is at a church or other place of worship and reception is at a historical building. The type of wedding is Romantic Traditional. The wedding color theme is Champagne. The estimated cost for this wedding is $70254.,Fall Wedding,None specified,This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $281 to the total amount spent.,a church or other place of worship,Romantic Traditional,Entertainment (DJ Live Band Musician/s etc.),Flowers & Decorations,Photography & Video,70254,4282,1054,197,271,2079,14525,3717,4700,1420,250,0,300,281,102499
How much does a wedding in Macon GA with 100 to 150 guests cost? The wedding is at an event facility. The type of wedding is Elegant Simple Modern. The wedding color theme is Purples. The estimated cost for this wedding is $22900.,None specified,Macon GA,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $183 to the total amount spent.,an event facility,Purples,None,None,None,22900,1954,452,220,6388,5187,1473,836,437,4174,125,0,150,183,44021
How much does a spring wedding in Cincinnati OH with 100 to 150 guests cost? The wedding is at a resort or hotel. The type of wedding is Casual Elegant Fun. The wedding color theme is Greens. The estimated cost for this wedding is $29109.,Spring Wedding,Cincinnati OH,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $233 to the total amount spent.,a resort or hotel,Greens,None,None,None,29109,1947,413,173,254,1586,6779,1505,1895,546,125,0,150,233,44207
How much does a winter wedding in San Diego CA with 25 to 50 guests cost? The wedding is at a garden or park. The type of wedding is Beach Simple Intimate. The wedding color theme is Champagne. The estimated cost for this wedding is $18411.,Winter Wedding,San Diego CA,This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $485 to the total amount spent.,a garden or park,Champagne,None,None,None,18411,1956,132,122,330,4786,1088,422,1347,174,38,0,50,485,28768
How much does a summer wedding in 20901 with 50 to 100 guests cost? The wedding is at an event facility. The type of wedding is Romantic Traditional Intimate. The wedding color theme is White. The estimated cost for this wedding is $34305.,Summer Wedding,20901,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $457 to the total amount spent.,an event facility,White,None,None,None,34305,3370,270,325,334,5791,2277,883,2519,340,75,0,100,457,50414
How much does a spring wedding in bluffton sc with 150 to 200 guests cost? The wedding is at a country club or golf course. The type of wedding is Destination Elegant Garden. The wedding color theme is Pinks. The estimated cost for this wedding is $39771.,Spring Wedding,bluffton sc,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $227 to the total amount spent.,a country club or golf course,Pinks,None,None,None,39771,2226,690,230,241,2282,10705,2500,3374,1124,175,0,200,227,63143
How much does a spring wedding in Columbia Falls MT with 100 to 150 guests cost? The wedding is at a farm or barn. The type of wedding is Rustic Traditional Farm/Barn. The wedding color theme is Greens. The estimated cost for this wedding is $31673.,Spring Wedding,Columbia Falls MT,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $253 to the total amount spent.,a farm or barn,Greens,None,None,None,31673,1938,592,177,266,876,8386,2145,2803,514,125,0,150,253,49370
How much does a spring wedding in Fullerton CA with 100 to 150 guests cost? The wedding is at a garden or park. The type of wedding is Casual Garden Rustic. The wedding color theme is Ivory. The estimated cost for this wedding is $36133.,Spring Wedding,Fullerton CA,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $289 to the total amount spent.,a garden or park,Ivory,None,None,None,36133,2285,452,215,330,2701,7283,1511,1666,362,125,0,150,289,52938
How much does a fall wedding in Pinckney MI with 25 to 50 guests cost? The wedding is at some other location. The type of wedding is Simple Theme Unique. The wedding color theme is Reds. The estimated cost for this wedding is $15673.,Fall Wedding,Pinckney MI,This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $412 to the total amount spent.,some other location,Reds,None,None,None,15673,2062,126,1147,2676,369,729,4699,453,3276,38,0,50,412,31210
How much does a fall wedding in Denver CO with 100 to 150 guests cost? The wedding is at a farm or barn. The type of wedding is Fun Garden Farm/Barn. The wedding color theme is Greens. The estimated cost for this wedding is $33244.,Fall Wedding,Denver CO,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $266 to the total amount spent.,a farm or barn,Greens,None,None,None,33244,1977,114,4815,6781,9157,1389,333,589,1422,125,0,150,266,59821
How much does a spring wedding in Springfield MO with 100 to 150 guests cost? The wedding is at an event facility. The type of wedding is Romantic Traditional Modern. The wedding color theme is Greens. The estimated cost for this wedding is $32765.,Spring Wedding,Springfield MO,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $262 to the total amount spent.,an event facility,Greens,None,None,None,32765,1659,434,217,241,1357,6198,1586,2176,594,125,0,150,262,47227
How much does a summer wedding in Kennesaw with 25 to 50 guests cost? The wedding is at a private residence. The type of wedding is Casual Romantic Vintage. The wedding color theme is Ivory. The estimated cost for this wedding is $13691.,Summer Wedding,Kennesaw,This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $360 to the total amount spent.,a private residence,Ivory,None,None,None,13691,2387,111,61,1143,2531,443,133,125,689,38,0,50,360,21314
How much does a winter wedding in Little Elm TX with 50 to 100 guests cost? The wedding is at an event facility. The type of wedding is Romantic Simple Traditional. The wedding color theme is Blues. The estimated cost for this wedding is $28830.,Winter Wedding,Little Elm TX,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $384 to the total amount spent.,an event facility,Blues,None,None,None,28830,2989,222,187,272,2475,2018,782,1657,188,75,0,100,384,39620
How much does a summer wedding in New York NY with 100 to 150 guests cost? The wedding is at an event facility. The type of wedding is Garden Romantic Intimate. The wedding color theme is White. The estimated cost for this wedding is $37039.,Summer Wedding,New York NY,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $296 to the total amount spent.,an event facility,White,None,None,None,37039,3434,468,318,334,1311,7609,1550,3680,591,125,0,150,296,56334
How much does a summer wedding in Seward AK with 50 to 100 guests cost? The wedding is at a garden or park. The type of wedding is Garden Romantic Intimate. The wedding color theme is Champagne. The estimated cost for this wedding is $27453.,Summer Wedding,Seward AK,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $366 to the total amount spent.,a garden or park,Champagne,None,None,None,27453,2161,365,985,3068,4530,1189,285,327,4705,75,0,100,366,45068
How much does a spring wedding in Little Elm TX cost? The wedding is at an event facility. The type of wedding is Fun Romantic Traditional. The wedding color theme is Other. The estimated cost for this wedding is $37707.,Spring Wedding,Little Elm TX,Not sure,an event facility,Other,None,None,None,37707,3898,549,195,272,2018,4973,1928,2601,463,0,0,0,0,54604
How much does a summer wedding in Manassas VA with 100 to 150 guests cost? The wedding is at an event facility. The type of wedding is Elegant Fun Traditional.  The estimated cost for this wedding is $28113.,Summer Wedding,Manassas VA,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $225 to the total amount spent.,an event facility,None specified,None,None,None,28113,3260,387,212,325,1380,4771,1427,3384,508,125,0,150,225,43767
How much does a fall wedding in Slidell LA with 25 to 50 guests cost? The wedding is at a family or friends home. The type of wedding is DIY Simple Intimate. The wedding color theme is Oranges. The estimated cost for this wedding is $8987.,Fall Wedding,Slidell LA,This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $237 to the total amount spent.,a family or friends home,Oranges,None,None,None,8987,1828,99,737,1574,332,568,85,1022,455,38,0,50,237,15687
How much does a spring wedding in Paramus NJ with 25 to 50 guests cost? The ceremony is at a church or other place of worship and reception is at a banquet hall. The type of wedding is Romantic Traditional Intimate. The wedding color theme is Champagne. The estimated cost for this wedding is $16470.,Spring Wedding,Paramus NJ,This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $433 to the total amount spent.,a church or other place of worship,Romantic Traditional Intimate,Attire & Accessories (Wedding Dress Suit etc.),Bakery (Wedding Cake/dessert),Beauty Health & Spa (Hair Makeup etc.),16470,2539,165,325,334,1426,1165,452,2198,176,38,0,50,433,25250
How much does a winter wedding in Mechanicsville MD with 50 to 100 guests cost? The wedding is at a farm or barn. The type of wedding is Casual Simple Traditional. The wedding color theme is Other. The estimated cost for this wedding is $24027.,Winter Wedding,Mechanicsville MD,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $320 to the total amount spent.,a farm or barn,Other,None,None,None,24027,2849,298,228,333,3027,5462,2189,282,267,75,0,100,320,38962
How much does a summer wedding in Tacoma WA with 200 to 300 guests cost? The wedding is at a lakefront. The type of wedding is DIY Romantic Simple. The wedding color theme is Blues. The estimated cost for this wedding is $57546.,Summer Wedding,Tacoma WA,This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $230 to the total amount spent.,a lakefront,Blues,None,None,None,57546,2670,963,283,1137,16440,14930,740,1059,1207,250,0,300,230,96975
How much does a summer wedding in Rochester NY with 150 to 200 guests cost? The type of wedding is Garden Romantic Simple. The wedding color theme is Other. The estimated cost for this wedding is $30354.,Summer Wedding,Rochester NY,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $173 to the total amount spent.,None specified,Other,None,None,None,30354,2259,740,187,321,7815,8406,3469,1044,908,175,0,200,173,55503
How much does a summer wedding in Madison WI with 100 to 150 guests cost? The type of wedding is Elegant Garden Romantic. The wedding color theme is Greens. The estimated cost for this wedding is $27797.,Summer Wedding,Madison WI,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $222 to the total amount spent.,None specified,Greens,None,None,None,27797,2105,393,251,264,972,4348,1422,2255,537,125,0,150,222,40344
How much does a fall wedding in Saint Louis MO with 50 to 100 guests cost? The wedding is at a farm or barn. The type of wedding is Garden Vintage Farm/Barn. The wedding color theme is Browns. The estimated cost for this wedding is $16471.,Fall Wedding,Saint Louis MO,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $220 to the total amount spent.,a farm or barn,Browns,None,None,None,16471,2097,214,152,2003,3873,776,459,274,1212,75,0,100,220,27531
How much does a spring wedding in Fort Lauderdale FL with 50 to 100 guests cost? The wedding is at a banquet hall. The type of wedding is Formal Simple Intimate. The wedding color theme is Silver. The estimated cost for this wedding is $20036.,Spring Wedding,Fort Lauderdale FL,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $267 to the total amount spent.,a banquet hall,Silver,None,None,None,20036,2651,304,264,3106,2634,5088,1811,314,283,75,0,100,267,36491
How much does a spring wedding in Tampa FL with 50 to 100 guests cost? The wedding is at some other location. The type of wedding is Fun Modern Experience. The wedding color theme is Other. The estimated cost for this wedding is $21915.,Spring Wedding,Tampa FL,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $292 to the total amount spent.,some other location,Other,None,None,None,21915,1645,259,232,259,3343,3542,906,1817,358,75,0,100,292,34276
How much does a wedding in Middleton WI with 100 to 150 guests cost? The wedding is at a resort or hotel. The type of wedding is Simple Traditional Other. The wedding color theme is Black. The estimated cost for this wedding is $34367.,None specified,Middleton WI,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $275 to the total amount spent.,a resort or hotel,Black,None,None,None,34367,1869,410,155,264,3289,6634,1434,344,90,125,0,150,275,48856
How much does a spring wedding in Little Rock AR with 100 to 150 guests cost? The wedding is at a banquet hall. The type of wedding is DIY. The wedding color theme is Champagne. The estimated cost for this wedding is $23086.,Spring Wedding,Little Rock AR,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $185 to the total amount spent.,a banquet hall,Champagne,None,None,None,23086,1605,418,251,2642,6208,5206,2318,604,597,125,0,150,185,42935
How much does a fall wedding in Austin TX  with 100 to 150 guests cost? The ceremony is at a church or other place of worship and reception is at a country club or golf course. The type of wedding is Elegant Fun Traditional. The wedding color theme is White. The estimated cost for this wedding is $28725.,Fall Wedding,Austin TX,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $230 to the total amount spent.,a church or other place of worship,Elegant Fun Traditional,Attire & Accessories (Wedding Dress Suit etc.),Event Food Service Catering Bar Service,None,28725,3284,499,163,263,1193,7760,1726,2723,627,125,0,150,230,46963
How much does a spring wedding in Georgetown TX with 50 to 100 guests cost? The wedding is at an event facility. The type of wedding is Romantic Simple Intimate. The wedding color theme is White. The estimated cost for this wedding is $18407.,Spring Wedding,Georgetown TX,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $245 to the total amount spent.,an event facility,White,None,None,None,18407,2547,245,177,263,2249,2477,805,468,193,75,0,100,245,27831
How much does a fall wedding in Indianapolis IN with 100 to 150 guests cost? The wedding is at an event facility. The type of wedding is Romantic Other Experience. The wedding color theme is Other. The estimated cost for this wedding is $23423.,Fall Wedding,Indianapolis IN,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $187 to the total amount spent.,an event facility,Other,None,None,None,23423,1892,401,262,1219,6599,5783,2814,340,390,125,0,150,187,43123
How much does a summer wedding in Anderson SC with 150 to 200 guests cost? The ceremony is at a church or other place of worship and reception is at an event facility. The type of wedding is Elegant Formal Traditional. The wedding color theme is Greens. The estimated cost for this wedding is $35409.,Summer Wedding,Anderson SC,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $202 to the total amount spent.,a church or other place of worship,Elegant Formal Traditional,Ceremony Officiator (Officiant Celebrant etc.),Event Food Service Catering Bar Service,Event Location/Venue,35409,2171,706,242,319,1870,11232,2976,1038,1302,175,0,200,202,57265
